Story,Level,Context,Rating
cake,1,1,3.0
cake,1,2,3.0
cake,1,1,7.0
cake,1,2,4.0
cake,1,1,3.0
cake,1,2,5.0
cake,1,1,5.0
cake,1,2,1.0
cake,1,1,1.0
cake,1,2,7.0
cake,1,1,5.0
cake,1,2,5.0
cake,1,1,4.0
cake,1,2,4.0
cake,1,1,7.0
cake,1,2,3.0
cake,1,1,1.0
cake,1,2,3.0
cake,1,1,5.0
cake,1,2,5.0
cake,1,1,4.0
cake,1,2,4.0
cake,1,1,2.0
cake,1,2,6.0
cake,1,1,7.0
cake,1,2,3.0
cake,1,1,1.0
cake,1,2,1.0
cake,1,1,1.0
cake,1,2,4.0
cake,1,1,1.0
cake,1,2,4.0
cake,2,1,3.0
cake,2,2,3.0
cake,2,1,7.0
cake,2,2,5.0
cake,2,1,4.0
cake,2,2,6.0
cake,2,1,7.0
cake,2,2,2.0
cake,2,1,1.0
cake,2,2,7.0
cake,2,1,5.0
cake,2,2,5.0
cake,2,1,4.0
cake,2,2,4.0
cake,2,1,7.0
cake,2,2,7.0
cake,2,1,3.0
cake,2,2,2.0
cake,2,1,6.0
cake,2,2,6.0
cake,2,1,5.0
cake,2,2,4.0
cake,2,1,2.0
cake,2,2,5.0
cake,2,1,4.0
cake,2,2,4.0
cake,2,1,1.0
cake,2,2,1.0
cake,2,1,5.0
cake,2,2,4.0
cake,2,1,1.0
cake,2,2,1.0
cake,3,1,5.0
cake,3,2,3.0
cake,3,1,7.0
cake,3,2,7.0
cake,3,1,5.0
cake,3,2,7.0
cake,3,1,7.0
cake,3,2,3.0
cake,3,1,6.0
cake,3,2,7.0
cake,3,1,5.0
cake,3,2,5.0
cake,3,1,5.0
cake,3,2,5.0
cake,3,1,7.0
cake,3,2,7.0
cake,3,1,1.0
cake,3,2,1.0
cake,3,1,6.0
cake,3,2,6.0
cake,3,1,6.0
cake,3,2,4.0
cake,3,1,2.0
cake,3,2,4.0
cake,3,1,5.0
cake,3,2,3.0
cake,3,1,1.0
cake,3,2,1.0
cake,3,1,7.0
cake,3,2,4.0
cake,3,1,5.0
cake,3,2,1.0
cake,4,1,7.0
cake,4,2,5.0
cake,4,1,7.0
cake,4,2,7.0
cake,4,1,6.0
cake,4,2,7.0
cake,4,1,7.0
cake,4,2,3.0
cake,4,1,7.0
cake,4,2,6.0
cake,4,1,5.0
cake,4,2,5.0
cake,4,1,5.0
cake,4,2,5.0
cake,4,1,7.0
cake,4,2,1.0
cake,4,1,1.0
cake,4,2,1.0
cake,4,1,6.0
cake,4,2,6.0
cake,4,1,6.0
cake,4,2,6.0
cake,4,1,2.0
cake,4,2,4.0
cake,4,1,5.0
cake,4,2,4.0
cake,4,1,1.0
cake,4,2,1.0
cake,4,1,7.0
cake,4,2,5.0
cake,4,1,6.0
cake,4,2,6.0
cake,5,1,5.0
cake,5,2,5.0
cake,5,1,7.0
cake,5,2,7.0
cake,5,1,7.0
cake,5,2,7.0
cake,5,1,7.0
cake,5,2,3.0
cake,5,1,7.0
cake,5,2,7.0
cake,5,1,5.0
cake,5,2,5.0
cake,5,1,6.0
cake,5,2,6.0
cake,5,1,7.0
cake,5,2,1.0
cake,5,1,1.0
cake,5,2,2.0
cake,5,1,6.0
cake,5,2,6.0
cake,5,1,6.0
cake,5,2,6.0
cake,5,1,2.0
cake,5,2,3.0
cake,5,1,6.0
cake,5,2,4.0
cake,5,1,1.0
cake,5,2,1.0
cake,5,1,7.0
cake,5,2,5.0
cake,5,1,4.0
cake,5,2,1.0
movie,1,1,2.0
movie,1,2,1.0
movie,1,1,7.0
movie,1,2,5.0
movie,1,1,3.0
movie,1,2,3.0
movie,1,1,1.0
movie,1,2,1.0
movie,1,1,3.0
movie,1,2,3.0
movie,1,1,2.0
movie,1,2,3.0
movie,1,1,3.0
movie,1,2,3.0
movie,1,1,1.0
movie,1,2,1.0
movie,1,1,1.0
movie,1,2,4.0
movie,1,1,5.0
movie,1,2,5.0
movie,1,1,2.0
movie,1,2,1.0
movie,1,1,2.0
movie,1,2,2.0
movie,1,1,3.0
movie,1,2,3.0
movie,1,1,1.0
movie,1,2,1.0
movie,1,1,2.0
movie,1,2,1.0
movie,1,1,1.0
movie,1,2,1.0
movie,2,1,2.0
movie,2,2,1.0
movie,2,1,4.0
movie,2,2,3.0
movie,2,1,4.0
movie,2,2,4.0
movie,2,1,3.0
movie,2,2,2.0
movie,2,1,5.0
movie,2,2,5.0
movie,2,1,2.0
movie,2,2,5.0
movie,2,1,4.0
movie,2,2,4.0
movie,2,1,1.0
movie,2,2,1.0
movie,2,1,1.0
movie,2,2,4.0
movie,2,1,5.0
movie,2,2,5.0
movie,2,1,3.0
movie,2,2,2.0
movie,2,1,2.0
movie,2,2,2.0
movie,2,1,2.0
movie,2,2,2.0
movie,2,1,1.0
movie,2,2,7.0
movie,2,1,1.0
movie,2,2,1.0
movie,2,1,1.0
movie,2,2,1.0
movie,3,1,2.0
movie,3,2,1.0
movie,3,1,5.0
movie,3,2,3.0
movie,3,1,3.0
movie,3,2,3.0
movie,3,1,2.0
movie,3,2,2.0
movie,3,1,6.0
movie,3,2,6.0
movie,3,1,1.0
movie,3,2,5.0
movie,3,1,2.0
movie,3,2,2.0
movie,3,1,4.0
movie,3,2,4.0
movie,3,1,1.0
movie,3,2,3.0
movie,3,1,6.0
movie,3,2,6.0
movie,3,1,3.0
movie,3,2,2.0
movie,3,1,3.0
movie,3,2,1.0
movie,3,1,1.0
movie,3,2,1.0
movie,3,1,5.0
movie,3,2,7.0
movie,3,1,1.0
movie,3,2,1.0
movie,3,1,1.0
movie,3,2,1.0
movie,4,1,4.0
movie,4,2,1.0
movie,4,1,7.0
movie,4,2,7.0
movie,4,1,2.0
movie,4,2,2.0
movie,4,1,2.0
movie,4,2,2.0
movie,4,1,6.0
movie,4,2,6.0
movie,4,1,6.0
movie,4,2,6.0
movie,4,1,2.0
movie,4,2,2.0
movie,4,1,7.0
movie,4,2,7.0
movie,4,1,1.0
movie,4,2,3.0
movie,4,1,6.0
movie,4,2,6.0
movie,4,1,4.0
movie,4,2,4.0
movie,4,1,4.0
movie,4,2,1.0
movie,4,1,1.0
movie,4,2,1.0
movie,4,1,7.0
movie,4,2,7.0
movie,4,1,2.0
movie,4,2,2.0
movie,4,1,2.0
movie,4,2,2.0
movie,5,1,5.0
movie,5,2,1.0
movie,5,1,7.0
movie,5,2,7.0
movie,5,1,2.0
movie,5,2,2.0
movie,5,1,3.0
movie,5,2,3.0
movie,5,1,6.0
movie,5,2,6.0
movie,5,1,6.0
movie,5,2,6.0
movie,5,1,1.0
movie,5,2,1.0
movie,5,1,7.0
movie,5,2,7.0
movie,5,1,2.0
movie,5,2,2.0
movie,5,1,6.0
movie,5,2,6.0
movie,5,1,5.0
movie,5,2,5.0
movie,5,1,5.0
movie,5,2,1.0
movie,5,1,1.0
movie,5,2,1.0
movie,5,1,7.0
movie,5,2,7.0
movie,5,1,3.0
movie,5,2,3.0
movie,5,1,5.0
movie,5,2,5.0
podcast,1,1,2.0
podcast,1,2,2.0
podcast,1,3,2.0
podcast,1,1,1.0
podcast,1,2,1.0
podcast,1,3,2.0
podcast,1,1,1.0
podcast,1,2,3.0
podcast,1,3,4.0
podcast,1,1,2.0
podcast,1,2,1.0
podcast,1,3,5.0
podcast,1,1,2.0
podcast,1,2,5.0
podcast,1,3,5.0
podcast,1,1,2.0
podcast,1,2,1.0
podcast,1,3,6.0
podcast,1,1,4.0
podcast,1,2,2.0
podcast,1,3,4.0
podcast,1,1,7.0
podcast,1,2,1.0
podcast,1,3,7.0
podcast,1,1,2.0
podcast,1,2,3.0
podcast,1,3,2.0
podcast,1,1,5.0
podcast,1,2,5.0
podcast,1,3,5.0
podcast,1,1,1.0
podcast,1,2,4.0
podcast,1,3,1.0
podcast,1,1,2.0
podcast,1,2,2.0
podcast,1,3,2.0
podcast,1,1,3.0
podcast,1,2,2.0
podcast,1,3,4.0
podcast,1,1,2.0
podcast,1,2,7.0
podcast,1,3,5.0
podcast,1,1,2.0
podcast,1,2,2.0
podcast,1,3,4.0
podcast,1,1,4.0
podcast,1,2,4.0
podcast,1,3,4.0
podcast,2,1,3.0
podcast,2,2,3.0
podcast,2,3,3.0
podcast,2,1,2.0
podcast,2,2,4.0
podcast,2,3,3.0
podcast,2,1,5.0
podcast,2,2,5.0
podcast,2,3,6.0
podcast,2,1,7.0
podcast,2,2,7.0
podcast,2,3,7.0
podcast,2,1,5.0
podcast,2,2,5.0
podcast,2,3,5.0
podcast,2,1,3.0
podcast,2,2,3.0
podcast,2,3,3.0
podcast,2,1,4.0
podcast,2,2,4.0
podcast,2,3,4.0
podcast,2,1,7.0
podcast,2,2,7.0
podcast,2,3,7.0
podcast,2,1,3.0
podcast,2,2,4.0
podcast,2,3,2.0
podcast,2,1,5.0
podcast,2,2,5.0
podcast,2,3,5.0
podcast,2,1,4.0
podcast,2,2,5.0
podcast,2,3,3.0
podcast,2,1,2.0
podcast,2,2,3.0
podcast,2,3,6.0
podcast,2,1,3.0
podcast,2,2,3.0
podcast,2,3,4.0
podcast,2,1,3.0
podcast,2,2,7.0
podcast,2,3,6.0
podcast,2,1,4.0
podcast,2,2,5.0
podcast,2,3,4.0
podcast,2,1,4.0
podcast,2,2,4.0
podcast,2,3,4.0
podcast,3,1,5.0
podcast,3,2,5.0
podcast,3,3,3.0
podcast,3,1,7.0
podcast,3,2,6.0
podcast,3,3,5.0
podcast,3,1,7.0
podcast,3,2,6.0
podcast,3,3,6.0
podcast,3,1,7.0
podcast,3,2,7.0
podcast,3,3,7.0
podcast,3,1,6.0
podcast,3,2,6.0
podcast,3,3,6.0
podcast,3,1,5.0
podcast,3,2,5.0
podcast,3,3,2.0
podcast,3,1,4.0
podcast,3,2,4.0
podcast,3,3,4.0
podcast,3,1,4.0
podcast,3,2,7.0
podcast,3,3,4.0
podcast,3,1,5.0
podcast,3,2,6.0
podcast,3,3,2.0
podcast,3,1,6.0
podcast,3,2,6.0
podcast,3,3,6.0
podcast,3,1,5.0
podcast,3,2,6.0
podcast,3,3,2.0
podcast,3,1,3.0
podcast,3,2,6.0
podcast,3,3,5.0
podcast,3,1,2.0
podcast,3,2,5.0
podcast,3,3,1.0
podcast,3,1,7.0
podcast,3,2,7.0
podcast,3,3,7.0
podcast,3,1,6.0
podcast,3,2,6.0
podcast,3,3,3.0
podcast,3,1,4.0
podcast,3,2,4.0
podcast,3,3,4.0
podcast,4,1,7.0
podcast,4,2,7.0
podcast,4,3,3.0
podcast,4,1,7.0
podcast,4,2,7.0
podcast,4,3,7.0
podcast,4,1,7.0
podcast,4,2,6.0
podcast,4,3,6.0
podcast,4,1,7.0
podcast,4,2,7.0
podcast,4,3,7.0
podcast,4,1,4.0
podcast,4,2,5.0
podcast,4,3,5.0
podcast,4,1,6.0
podcast,4,2,6.0
podcast,4,3,2.0
podcast,4,1,6.0
podcast,4,2,7.0
podcast,4,3,5.0
podcast,4,1,1.0
podcast,4,2,7.0
podcast,4,3,7.0
podcast,4,1,7.0
podcast,4,2,7.0
podcast,4,3,2.0
