"Ts","P"
1,94
2,94
3,94
4,93
5,93
6,93
7,93
8,93
9,93
10,93
11,92
12,92
13,92
14,92
15,92
16,92
17,92
18,91
19,91
20,91
21,91
22,91
23,91
24,91
25,91
26,90
27,90
28,90
29,90
30,90
31,90
32,90
33,90
34,90
35,90
36,90
37,90
38,91
39,91
40,91
41,91
42,91
43,91
44,92
45,92
46,92
47,92
48,93
49,93
50,93
51,94
52,94
53,94
54,95
55,95
56,95
57,96
58,96
59,96
60,97
61,97
62,97
63,97
64,98
65,98
66,98
67,98
68,99
69,99
70,99
71,99
72,100
73,100
74,100
75,100
76,100
77,100
78,101
79,101
80,101
81,101
82,102
83,102
84,102
85,103
86,103
87,104
88,104
89,105
90,105
91,106
92,107
93,107
94,108
95,109
96,110
97,110
98,111
99,112
100,113
101,114
102,115
103,116
104,116
105,117
106,118
107,119
108,120
109,120
110,121
