ID,ExpType,Group,Cake,Bus,Drive,Train
1,Non-Social,2,40,10,62,2
2,Non-Social,3,40,35,64,10
3,Non-Social,2,30,15,32,10
4,Non-Social,5,90,25,250,13
5,Non-Social,4,60,20,128,10
6,Non-Social,5,90,30,512,21
7,Non-Social,3,35,10,100,8
8,Non-Social,3,50,30,64,8
9,Non-Social,1,10,10,23,8
10,Non-Social,1,30,30,1000,3
11,Non-Social,4,60,30,100,12
12,Non-Social,1,20,10,32,4
13,Non-Social,3,45,10,64,4
14,Non-Social,4,60,15,128,6
15,Non-Social,3,35,15,60,8
16,Non-Social,2,30,10,64,5
17,Non-Social,5,80,22,125,7
18,Non-Social,1,30,20,15,4
19,Non-Social,1,30,13,24,2
20,Non-Social,5,75,25,130,8
21,Non-Social,2,20,15,28,2
22,Non-Social,2,60,15,32,2
23,Non-Social,2,50,10,50,8
24,Non-Social,2,40,15,32,5
25,Non-Social,3,45,15,64,8
26,Non-Social,3,60,15,1000,7
27,Non-Social,1,40,3,12,2
28,Non-Social,2,30,10,30,4
29,Non-Social,5,85,30,256,10
30,Non-Social,1,60,20,10,2
31,Non-Social,2,40,15,64,4
32,Non-Social,5,120,30,128,9
33,Non-Social,5,90,30,128,12
34,Non-Social,5,90,42,256,8
35,Non-Social,1,30,5,16,4
36,Non-Social,4,60,20,256,10
37,Non-Social,1,25,5,16,8
38,Non-Social,5,90,30,256,10
39,Non-Social,3,50,15,64,18
40,Non-Social,2,40,10,72,6
41,Non-Social,2,30,20,64,5
42,Non-Social,5,90,30,128,8
43,Non-Social,1,90,28,11,60
44,Non-Social,5,90,30,1000,28
45,Non-Social,3,40,15,64,5
46,Non-Social,1,35,10,10,8
47,Non-Social,3,40,10,60,4
48,Non-Social,1,40,5,128,30
49,Non-Social,4,60,18,2048,14
50,Non-Social,2,20,10,56,2
51,Non-Social,1,20,30,5,10
52,Non-Social,5,80,30,125,10
53,Non-Social,1,60,20,16,3
54,Non-Social,1,25,15,10,15
55,Non-Social,1,60,5,8,2
56,Non-Social,4,60,20,128,20
57,Non-Social,1,30,4,16,10
58,Non-Social,5,70,30,240,10
59,Non-Social,1,20,20,16,5
60,Non-Social,2,45,15,36,400
61,Non-Social,3,60,10,100,6
62,Non-Social,3,35,15,64,4
