Subject,Story,Level,Context,Rating,TVal
0,cake,1,1,1.0,10.0
0,cake,1,2,7.0,10.0
1,cake,1,1,5.0,10.0
1,cake,1,2,2.0,10.0
2,cake,1,1,6.0,10.0
2,cake,1,2,2.0,10.0
3,cake,1,1,5.0,10.0
3,cake,1,2,4.0,10.0
4,cake,1,1,5.0,10.0
4,cake,1,2,4.0,10.0
5,cake,1,1,6.0,10.0
5,cake,1,2,5.0,10.0
6,cake,1,1,2.0,10.0
6,cake,1,2,1.0,10.0
7,cake,1,1,7.0,10.0
7,cake,1,2,1.0,10.0
8,cake,1,1,4.0,10.0
8,cake,1,2,5.0,10.0
9,cake,1,1,4.0,10.0
9,cake,1,2,6.0,10.0
10,cake,1,1,3.0,10.0
10,cake,1,2,5.0,10.0
11,cake,1,1,4.0,10.0
11,cake,1,2,5.0,10.0
12,cake,1,1,1.0,10.0
12,cake,1,2,1.0,10.0
13,cake,1,1,2.0,10.0
13,cake,1,2,2.0,10.0
14,cake,1,1,1.0,10.0
14,cake,1,2,3.0,10.0
15,cake,1,1,4.0,10.0
15,cake,1,2,4.0,10.0
16,cake,1,1,7.0,10.0
16,cake,1,2,3.0,10.0
17,cake,1,1,2.0,10.0
17,cake,1,2,5.0,10.0
18,cake,1,1,6.0,10.0
18,cake,1,2,5.0,10.0
19,cake,1,1,1.0,10.0
19,cake,1,2,3.0,10.0
20,cake,1,1,6.0,10.0
20,cake,1,2,4.0,10.0
21,cake,1,1,2.0,10.0
21,cake,1,2,2.0,10.0
22,cake,1,1,2.0,10.0
22,cake,1,2,4.0,10.0
23,cake,1,1,3.0,10.0
23,cake,1,2,6.0,10.0
24,cake,1,1,4.0,10.0
24,cake,1,2,1.0,10.0
25,cake,1,1,1.0,10.0
25,cake,1,2,7.0,10.0
26,cake,1,1,2.0,10.0
26,cake,1,2,2.0,10.0
27,cake,1,1,6.0,10.0
27,cake,1,2,2.0,10.0
28,cake,1,1,5.0,10.0
28,cake,1,2,4.0,10.0
29,cake,1,1,1.0,10.0
29,cake,1,2,1.0,10.0
30,cake,1,1,1.0,10.0
30,cake,1,2,6.0,10.0
31,cake,1,1,3.0,10.0
31,cake,1,2,2.0,10.0
32,cake,1,1,1.0,10.0
32,cake,1,2,5.0,10.0
33,cake,1,1,2.0,10.0
33,cake,1,2,3.0,10.0
34,cake,1,1,1.0,10.0
34,cake,1,2,6.0,10.0
35,cake,1,1,5.0,10.0
35,cake,1,2,5.0,10.0
36,cake,1,1,2.0,10.0
36,cake,1,2,7.0,10.0
37,cake,1,1,1.0,10.0
