Subject,Story,Level,Context,Rating
0,cake,1,1,3.0
0,cake,1,2,3.0
1,cake,1,1,7.0
1,cake,1,2,4.0
2,cake,1,1,3.0
2,cake,1,2,5.0
3,cake,1,1,5.0
3,cake,1,2,1.0
4,cake,1,1,1.0
4,cake,1,2,7.0
5,cake,1,1,5.0
5,cake,1,2,5.0
6,cake,1,1,4.0
6,cake,1,2,4.0
7,cake,1,1,7.0
7,cake,1,2,3.0
8,cake,1,1,1.0
8,cake,1,2,3.0
9,cake,1,1,5.0
9,cake,1,2,5.0
10,cake,1,1,4.0
10,cake,1,2,4.0
11,cake,1,1,2.0
11,cake,1,2,6.0
12,cake,1,1,7.0
12,cake,1,2,3.0
13,cake,1,1,1.0
13,cake,1,2,1.0
14,cake,1,1,1.0
14,cake,1,2,4.0
15,cake,1,1,1.0
15,cake,1,2,4.0
0,cake,2,1,3.0
0,cake,2,2,3.0
1,cake,2,1,7.0
1,cake,2,2,5.0
2,cake,2,1,4.0
2,cake,2,2,6.0
3,cake,2,1,7.0
3,cake,2,2,2.0
4,cake,2,1,1.0
4,cake,2,2,7.0
5,cake,2,1,5.0
5,cake,2,2,5.0
6,cake,2,1,4.0
6,cake,2,2,4.0
7,cake,2,1,7.0
7,cake,2,2,7.0
8,cake,2,1,3.0
8,cake,2,2,2.0
9,cake,2,1,6.0
9,cake,2,2,6.0
10,cake,2,1,5.0
10,cake,2,2,4.0
11,cake,2,1,2.0
11,cake,2,2,5.0
12,cake,2,1,4.0
12,cake,2,2,4.0
13,cake,2,1,1.0
13,cake,2,2,1.0
14,cake,2,1,5.0
14,cake,2,2,4.0
15,cake,2,1,1.0
15,cake,2,2,1.0
0,cake,3,1,5.0
0,cake,3,2,3.0
1,cake,3,1,7.0
1,cake,3,2,7.0
2,cake,3,1,5.0
2,cake,3,2,7.0
3,cake,3,1,7.0
3,cake,3,2,3.0
4,cake,3,1,6.0
4,cake,3,2,7.0
5,cake,3,1,5.0
5,cake,3,2,5.0
6,cake,3,1,5.0
6,cake,3,2,5.0
7,cake,3,1,7.0
7,cake,3,2,7.0
8,cake,3,1,1.0
8,cake,3,2,1.0
9,cake,3,1,6.0
9,cake,3,2,6.0
10,cake,3,1,6.0
10,cake,3,2,4.0
11,cake,3,1,2.0
11,cake,3,2,4.0
12,cake,3,1,5.0
12,cake,3,2,3.0
13,cake,3,1,1.0
13,cake,3,2,1.0
14,cake,3,1,7.0
14,cake,3,2,4.0
15,cake,3,1,5.0
15,cake,3,2,1.0
0,cake,4,1,7.0
0,cake,4,2,5.0
1,cake,4,1,7.0
1,cake,4,2,7.0
2,cake,4,1,6.0
2,cake,4,2,7.0
3,cake,4,1,7.0
3,cake,4,2,3.0
4,cake,4,1,7.0
4,cake,4,2,6.0
5,cake,4,1,5.0
5,cake,4,2,5.0
6,cake,4,1,5.0
6,cake,4,2,5.0
7,cake,4,1,7.0
7,cake,4,2,1.0
8,cake,4,1,1.0
8,cake,4,2,1.0
