"session","created","modified","ended","expired","pPROLIFIC_PID","pSTUDY_ID","pSESSION_ID","cakeL1Response","cakeL2Response","cakeL3Response","cakeL4Response","cakeL5Response","movieL1Response","movieL2Response","movieL3Response","movieL4Response","movieL5Response","podcastL1Response","podcastL2Response","podcastL3Response","podcastL4Response","podcastL5Response","attentionCheck"
"YWmoiRuS-MUJ6MuQ3RIvHsCv4oOxcmBqPJvZFdQnxcf3_QMez5liLR-S2DE50tW8","2022-01-15 23:41:25","2022-01-15 23:46:29","2022-01-15 23:46:29","","5fff94daf31eb5113dbc6f00","61e19414185ab41992e2afa7","61e34d93f09539c9ed4216a0","10","25","40","60","80","35","50","68","90","101","15","33","55","77","110","4"
"LymUH8RHpQ7BwPjioc4oP9XbmKfCNlZ4lguKnA6ISWnW8gEoShse4uXacDH5_ncy","2022-01-15 23:41:34","2022-01-15 23:43:39","2022-01-15 23:43:39","","6108695d1e19337bcd1fb417","61e19414185ab41992e2afa7","61e34d99ed1d19b6eddb629c","20","20","50","50","80","94","94","94","94","124","60","60","60","90","120","4"
"xp3heXqNDYVYI_B2sjzSGm54RfrQcX0AMdH2Zx3mQhLD9X9yPioBe-udzLCM1wou","2022-01-15 23:41:38","2022-01-15 23:44:32","2022-01-15 23:44:32","","6050e0236d725096c9ae2131","61e19414185ab41992e2afa7","61e34d9c7103b915ff2c1acb","40","40","40","60","90","138","138","138","138","138","20","40","60","90","120","4"
"lKa_oyFnv84BQLHm5rrBofXG_gp993wd3RPEWG784IU4vb7d_UeQ6eYxV7wWMUf0","2022-01-15 23:41:38","2022-01-15 23:46:02","2022-01-15 23:46:02","","60debbeba4e9cbc6e89d0aa5","61e19414185ab41992e2afa7","61e34d9e309fefcb336962ed","20","20","40","50","70","90","90","100","90","110","40","40","55","80","120","4"
"_UsALR8K1Dl9KcV6pPUovG4XZkCN8hpePSwI-QDG2_eXWOqKCxJqm1NjjLJHM6w2","2022-01-15 23:49:34","2022-01-15 23:51:19","2022-01-15 23:51:19","","5ca7ca2ea5568f0015f74ecc","61e19414185ab41992e2afa7","61e34da231d8b7646d03afda","30","30","35","51","80","90","90","90","90","120","15","30","120","150","200","4"
"nQVDcZHI_9q3nNs8Vn1jGbsdxK_uwWDpD4IQwuwIAbn2iAJLw7_RgFDlRi0QlNLe","2022-01-15 23:54:36","2022-01-15 23:58:04","2022-01-15 23:58:04","","613615da1eacf6204ce33479","61e19414185ab41992e2afa7","61e350aa4b440badd4469f88","40","40","40","60","100","120","120","120","120","120","100","100","120","120","120","4"
"VWJG-eK-VO-QZqoJY6kCKyatlpBMwK80IAJVkQq3SKVs6IqoY-xFZIYsH91oouh0","2022-01-15 23:54:36","2022-01-15 23:59:53","2022-01-15 23:59:53","","602d072524ce4c64a9ac1be3","61e19414185ab41992e2afa7","61e350aa44795cda556857ca","10","20","35","50","120","45","55","65","120","140","15","45","80","90","120","4"
"PVOVZ6Usnh1EdyFn32D9ia3CG63dsTLyDY71TjxppQ2U1tlLstNbznzIdJ08zNY7","2022-01-15 23:54:40","2022-01-16 00:01:55","2022-01-16 00:01:55","","5fe671a12474704bb00d5615","61e19414185ab41992e2afa7","61e350abf68226d5d3dc0d21","25","21","35","50","70","125","130","93","180","155","15","75","56","75","132","4"
"u0abkYLvSzXkMQRXeySCCOWi5WfeQlMcwIkShGT-iReeCktcY2nAJnbYyjm7LmHp","2022-01-15 23:54:40","2022-01-16 00:03:37","2022-01-16 00:03:37","","601ffb441dc6d959b855eea5","61e19414185ab41992e2afa7","61e350ac56351fe70bd0cfa5","30","30","40","90","80","40","50","65","90","100","20","40","60","80","110","4"
"yVsiezOZYb8DKhArBvMs_ILMCXPEDeACFqhJrSuKNDFdMdGA7uMl9mkDZ2qjp1zd","2022-01-15 23:54:41","2022-01-16 00:00:41","2022-01-16 00:00:41","","5f18a80367ef6b0bbc5f3720","61e19414185ab41992e2afa7","61e350adc41e51a62eb56093","30","30","45","60","120","64","70","90","95","115","30","35","75","90","120","4"
"ko1FbzKM5SHziJUDWhWYxcbZ0cHnFCikpkE_eTTfKoStAXCC2MwqnQ9vPf0UiBgo","2022-01-15 23:54:41","2022-01-15 23:57:00","","","5f591c6d75be841230aa6ced","61e19414185ab41992e2afa7","61e350aed6013a8cb9be50c6","","","","","","90","","","","","","","","","",""
"fJeMlyicjfdd_qZ7NaVfMFnUgWRWwSlMyVssHcSJWOkjnONr4DvqFzhpgrw7eRw_","2022-01-15 23:54:42","2022-01-15 23:57:13","2022-01-15 23:57:13","","5d7c7425c0d7db00187b1199","61e19414185ab41992e2afa7","61e350ad94b3cf54fd1ba5cd","20","30","40","50","70","90","90","90","90","120","30","45","60","90","120","4"
"UFihBcNHuVtXkxwQbDKhQ9QIVRjJhaywUTjaRIc7zGuZDQY5Ej5FPfhzqwj8nH6X","2022-01-15 23:54:42","2022-01-15 23:59:28","2022-01-15 23:59:28","","6106c4b160ebeb7a5bd5db0e","61e19414185ab41992e2afa7","61e350af8b34bca309156722","25","25","35","50","70","110","110","110","110","110","60","110","120","100","115","4"
"z21PERI2V-KQnqod-4jV0S0ZraLPuoiJmDZCYXrOVggvctfFwXx8PcjD9GfOCiDS","2022-01-15 23:54:42","2022-01-15 23:59:54","2022-01-15 23:59:54","","5ef87d791fe8265d79e8eb65","61e19414185ab41992e2afa7","61e350b0ec462b334d6c3bf7","10","20","40","60","80","120","120","120","120","120","15","30","60","120","120","4"
"C6c1BfzSfXMV9M78KRgNWHegmOb3rg-8wrxg04ITTQ9Zpxo3XqaKftvwwyQrfRQ_","2022-01-15 23:54:43","2022-01-16 00:00:14","2022-01-16 00:00:14","","5f6cbceb1758e90a22144647","61e19414185ab41992e2afa7","61e350b05f46543e9d012630","45","35","50","80","90","90","100","120","120","150","25","45","70","85","130","4"
"ABLBU-k1cEN1KsQqOIkrb4KBtWmHcOvfuBF-2thvpcFCc-5j2K5KevPRWFV1mUCA","2022-01-15 23:54:43","2022-01-16 00:19:02","2022-01-16 00:19:02","","5c465bc735e0cd0001dddc5b","61e19414185ab41992e2afa7","61e350b0153e9d9d69cba3d1","30","40","60","70","100","120","120","120","120","120","90","90","90","120","150","4"
"vcQ3BaEltc_RiLyGcCxKJkiQuu9AapJwP22JWHG5H6CubIqKAlbS7tDErerdz-4H","2022-01-15 23:54:43","2022-01-15 23:58:23","2022-01-15 23:58:23","","60814ca10e453404aed130ea","61e19414185ab41992e2afa7","61e350b0e66a7b71d2c0809c","30","30","40","60","90","90","90","90","90","120","40","40","60","90","110","4"
"j_4qXiTM6WD7aKstWxjgORALPmky-tjypcahmQHM2LaG8W3D6g6pm8afMyeP4ZdJ","2022-01-15 23:54:43","2022-01-15 23:59:13","2022-01-15 23:59:13","","60b01347f6fc32960811a1d0","61e19414185ab41992e2afa7","61e350b188da8a4c34aa11be","50","50","50","50","80","90","90","90","90","120","60","60","60","80","120","4"
"0oHyAyl8PmzeG-i89bcGSXHKQ8wNgjG00BqcDN7mskdkMc8feY54tKj8tx2tgqQS","2022-01-15 23:54:43","2022-01-15 23:59:47","2022-01-15 23:59:47","","60935d2144657b0d32bd3839","61e19414185ab41992e2afa7","61e350b0c91ebadfa37e95e8","45","40","40","60","120","90","90","90","90","110","70","80","80","80","110","4"
