"session","created","modified","ended","expired","pPROLIFIC_PID","pSTUDY_ID","pSESSION_ID","cakeL1Response","cakeL2Response","cakeL3Response","cakeL4Response","cakeL5Response","movieL1Response","movieL2Response","movieL3Response","movieL4Response","movieL5Response","podcastL1Response","podcastL2Response","podcastL3Response","podcastL4Response","podcastL5Response","attentionCheck"
"J5O8ZaC3J2mp8kyBJ0-nVl12LbjnlmB8hNQHNbG9kORESmBRW0vn-aVYHKo26F_S","2022-01-16 01:37:59","2022-01-16 01:41:31","2022-01-16 01:41:31","","6142883565f2f12724b5e613","61e367685623b9b3189455fa","61e368dbb3c04dbb8bfe7257","13","25","40","53","75","40","60","68","90","120","17","35","70","90","120","4"
"0BqMf-apYPNdMh6IGPaJ2X4ZETeywaxi7nYj4uidkoaTkMmmmyQH5WhPa0i5-ent","2022-01-16 01:38:05","2022-01-16 01:43:48","2022-01-16 01:43:48","","601490ba0840ad4ed9c24b0a","61e367685623b9b3189455fa","61e368e4fe7767d432ed78c1","20","30","35","50","70","30","45","90","90","130","15","30","55","75","110","4"
"XYt5XqMbTVbXiAxoOsyrR6VDslsxEfI94qQXlEOXktqw_1HnWTIS6eTsi1eUy5vK","2022-01-16 01:38:06","2022-01-16 01:41:38","2022-01-16 01:41:38","","5f207bf0027b2836f9301773","61e367685623b9b3189455fa","61e368ebd0a732b07da74a5b","20","30","60","60","95","40","50","70","92","112","18","33","60","80","107","4"
"Mg01g4yG42SXbtQeFsR80JgGA9wZOaACsXVTcDsWGTegUnbVDklknW-h3Nid83vE","2022-01-16 01:38:15","2022-01-16 01:41:20","2022-01-16 01:41:20","","5e1b3b93f07b72359c0c4ffe","61e367685623b9b3189455fa","61e368f3de358f2a6686b1ff","20","40","70","100","140","60","90","90","120","120","20","40","60","80","120","4"
"6_mLpSTU5lcAfztrigZTYQJMeT8QQ4XtmD9tR8iRhN62KUXbq9WBVOnirMl_kos8","2022-01-16 01:38:24","2022-01-16 01:42:10","2022-01-16 01:42:10","","603eeee068ff0bfe74a8b316","61e367685623b9b3189455fa","61e368fa86aa6656a73825d5","15","25","40","55","75","90","90","90","90","120","20","35","60","80","110","4"
"m4OQ4J03ybc3_2GLfOedae-oim6shFHqThSpXLIv-k8aSFNl3LM0CNpZxXhqlwsh","2022-01-16 17:33:44","2022-01-16 17:35:28","2022-01-16 17:35:28","","60ab84e0110fc27797682c8e","61e367685623b9b3189455fa","61e448e42445ee37b1f57ec5","20","25","35","52","71","100","100","100","100","105","20","31","56","76","106","4"
"XUsl7LFC0RjXjX8GiHyNc5h0ORkIQD6bhxwf6mT7QVlOw9dUibDqhvTsLuLbPRdm","2022-01-16 17:40:38","2022-01-16 17:46:26","2022-01-16 17:46:26","","5f9b28cdd59a8e3148572a38","61e367685623b9b3189455fa","61e44a832ea865ff29d8b7a8","30","30","45","60","80","45","60","90","90","120","20","35","60","85","110","4"
"MQbNVzXG3HIE_bfxFKwfZ6803NORoFIhsV7UBg_vMRkGhzhh5dHUHpyAaPapZrI3","2022-01-16 17:40:55","2022-01-16 17:42:39","2022-01-16 17:42:39","","5f2ad1ce2bd6f93cc9ffe00e","61e367685623b9b3189455fa","61e44a94d76b77d7bf8acc6d","35","45","45","60","85","180","120","150","150","110","45","50","60","90","120","4"
"XfKjG5i-LLT99sJ7mTOH-ADfVBbfAyib0pMfVxobRxMEQxGB1PkjFngOiRRWoFuJ","2022-01-16 17:41:04","2022-01-16 17:45:59","2022-01-16 17:45:59","","58a9acb966e4640001c53a7f","61e367685623b9b3189455fa","61e44a9f69dfdc781bf15887","15","22","40","60","80","120","120","180","180","180","30","60","60","90","120","4"
"hiHGCE2P_52rqB7nd9SEiRjqAEVuQTFgGqTuj6rbcp1zFUyfhTyuDroVnEIAiyO1","2022-01-16 17:41:14","2022-01-16 17:43:12","2022-01-16 17:43:12","","6100018252176584bbc57d21","61e367685623b9b3189455fa","61e44aa6c5bc0fb841e5f608","20","25","40","60","80","90","90","90","90","120","16","35","60","75","105","4"
