Subject,Story,Level,Context,Prediction,T_val
1,cake,1,Non-Social,10,10
1,cake,2,Non-Social,25,20
1,cake,3,Non-Social,40,35
1,cake,4,Non-Social,60,50
1,cake,5,Non-Social,80,70
2,cake,1,Non-Social,20,10
2,cake,2,Non-Social,20,20
2,cake,3,Non-Social,50,35
2,cake,4,Non-Social,50,50
2,cake,5,Non-Social,80,70
3,cake,1,Non-Social,40,10
3,cake,2,Non-Social,40,20
3,cake,3,Non-Social,40,35
3,cake,4,Non-Social,60,50
3,cake,5,Non-Social,90,70
4,cake,1,Non-Social,20,10
4,cake,2,Non-Social,20,20
4,cake,3,Non-Social,40,35
4,cake,4,Non-Social,50,50
4,cake,5,Non-Social,70,70
5,cake,1,Non-Social,30,10
5,cake,2,Non-Social,30,20
5,cake,3,Non-Social,35,35
5,cake,4,Non-Social,51,50
5,cake,5,Non-Social,80,70
6,cake,1,Non-Social,40,10
6,cake,2,Non-Social,40,20
6,cake,3,Non-Social,40,35
6,cake,4,Non-Social,60,50
6,cake,5,Non-Social,100,70
7,cake,1,Non-Social,10,10
7,cake,2,Non-Social,20,20
7,cake,3,Non-Social,35,35
7,cake,4,Non-Social,50,50
7,cake,5,Non-Social,120,70
8,cake,1,Non-Social,25,10
8,cake,2,Non-Social,21,20
8,cake,3,Non-Social,35,35
8,cake,4,Non-Social,50,50
8,cake,5,Non-Social,70,70
9,cake,1,Non-Social,30,10
9,cake,2,Non-Social,30,20
9,cake,3,Non-Social,40,35
9,cake,4,Non-Social,90,50
9,cake,5,Non-Social,80,70
10,cake,1,Non-Social,30,10
10,cake,2,Non-Social,30,20
10,cake,3,Non-Social,45,35
10,cake,4,Non-Social,60,50
10,cake,5,Non-Social,120,70
11,cake,1,Non-Social,20,10
11,cake,2,Non-Social,30,20
11,cake,3,Non-Social,40,35
11,cake,4,Non-Social,50,50
11,cake,5,Non-Social,70,70
12,cake,1,Non-Social,25,10
12,cake,2,Non-Social,25,20
12,cake,3,Non-Social,35,35
12,cake,4,Non-Social,50,50
12,cake,5,Non-Social,70,70
13,cake,1,Non-Social,10,10
13,cake,2,Non-Social,20,20
13,cake,3,Non-Social,40,35
13,cake,4,Non-Social,60,50
13,cake,5,Non-Social,80,70
14,cake,1,Non-Social,45,10
14,cake,2,Non-Social,35,20
14,cake,3,Non-Social,50,35
14,cake,4,Non-Social,80,50
14,cake,5,Non-Social,90,70
15,cake,1,Non-Social,30,10
15,cake,2,Non-Social,40,20
15,cake,3,Non-Social,60,35
15,cake,4,Non-Social,70,50
15,cake,5,Non-Social,100,70
16,cake,1,Non-Social,30,10
16,cake,2,Non-Social,30,20
16,cake,3,Non-Social,40,35
16,cake,4,Non-Social,60,50
16,cake,5,Non-Social,90,70
17,cake,1,Non-Social,50,10
17,cake,2,Non-Social,50,20
17,cake,3,Non-Social,50,35
17,cake,4,Non-Social,50,50
17,cake,5,Non-Social,80,70
18,cake,1,Non-Social,45,10
18,cake,2,Non-Social,40,20
18,cake,3,Non-Social,40,35
18,cake,4,Non-Social,60,50
18,cake,5,Non-Social,120,70
19,cake,1,Non-Social,45,10
19,cake,2,Non-Social,45,20
19,cake,3,Non-Social,45,35
19,cake,4,Non-Social,60,50
19,cake,5,Non-Social,75,70
20,cake,1,Non-Social,20,10
20,cake,2,Non-Social,30,20
20,cake,3,Non-Social,60,35
20,cake,4,Non-Social,60,50
20,cake,5,Non-Social,120,70
21,cake,1,Non-Social,30,10
21,cake,2,Non-Social,40,20
21,cake,3,Non-Social,55,35
21,cake,4,Non-Social,70,50
21,cake,5,Non-Social,90,70
22,cake,1,Non-Social,15,10
22,cake,2,Non-Social,25,20
22,cake,3,Non-Social,40,35
22,cake,4,Non-Social,60,50
22,cake,5,Non-Social,90,70
23,cake,1,Non-Social,60,10
23,cake,2,Non-Social,60,20
23,cake,3,Non-Social,60,35
23,cake,4,Non-Social,60,50
23,cake,5,Non-Social,90,70
24,cake,1,Non-Social,20,10
24,cake,2,Non-Social,25,20
24,cake,3,Non-Social,40,35
24,cake,4,Non-Social,55,50
24,cake,5,Non-Social,75,70
25,cake,1,Non-Social,40,10
25,cake,2,Non-Social,40,20
25,cake,3,Non-Social,40,35
25,cake,4,Non-Social,60,50
25,cake,5,Non-Social,80,70
26,cake,1,Non-Social,45,10
26,cake,2,Non-Social,45,20
26,cake,3,Non-Social,45,35
26,cake,4,Non-Social,50,50
26,cake,5,Non-Social,70,70
27,cake,1,Non-Social,25,10
27,cake,2,Non-Social,25,20
27,cake,3,Non-Social,35,35
