"Subject","Story","Level","Context","Prediction","T_val","z_score"
1,"cake",1,"Social",13,10,0.77607759057226
1,"cake",2,"Social",25,20,0.373234667288383
1,"cake",3,"Social",40,35,0.169560027691772
1,"cake",4,"Social",53,50,0.375088132575445
1,"cake",5,"Social",75,70,0.175568326239566
2,"cake",1,"Social",20,10,0.109780395068684
2,"cake",2,"Social",30,20,0.262960788316815
2,"cake",3,"Social",35,35,0.805410131535918
2,"cake",4,"Social",50,50,0.821621623736688
2,"cake",5,"Social",70,70,0.67434198032924
3,"cake",1,"Social",20,10,0.109780395068684
3,"cake",2,"Social",30,20,0.262960788316815
3,"cake",3,"Social",60,35,2.37384038768481
3,"cake",4,"Social",60,50,0.66682334680079
3,"cake",5,"Social",95,70,1.81952629011913
4,"cake",1,"Social",20,10,0.109780395068684
4,"cake",2,"Social",40,20,1.53535169952721
5,"cake",1,"Social",15,10,0.585706963285524
5,"cake",2,"Social",25,20,0.373234667288383
5,"cake",3,"Social",40,35,0.169560027691772
5,"cake",4,"Social",55,50,0.0773991384679493
5,"cake",5,"Social",75,70,0.175568326239566
6,"cake",1,"Social",20,10,0.109780395068684
6,"cake",2,"Social",25,20,0.373234667288383
6,"cake",3,"Social",35,35,0.805410131535918
6,"cake",4,"Social",52,50,0.523932629629193
6,"cake",5,"Social",71,70,0.574587249511305
7,"cake",1,"Social",30,10,0.842072741364995
7,"cake",2,"Social",30,20,0.262960788316815
7,"cake",3,"Social",45,35,0.466290076152373
7,"cake",4,"Social",60,50,0.66682334680079
7,"cake",5,"Social",80,70,0.323205327850108
8,"cake",1,"Social",35,10,1.31799930958183
8,"cake",2,"Social",45,20,2.17154715513241
8,"cake",3,"Social",45,35,0.466290076152373
8,"cake",4,"Social",60,50,0.66682334680079
8,"cake",5,"Social",85,70,0.821978981939783
9,"cake",1,"Social",15,10,0.585706963285524
9,"cake",2,"Social",22,20,0.754951940651502
9,"cake",3,"Social",40,35,0.169560027691772
9,"cake",4,"Social",60,50,0.66682334680079
9,"cake",5,"Social",80,70,0.323205327850108
10,"cake",1,"Social",20,10,0.109780395068684
10,"cake",2,"Social",25,20,0.373234667288383
10,"cake",3,"Social",40,35,0.169560027691772
10,"cake",4,"Social",60,50,0.66682334680079
10,"cake",5,"Social",80,70,0.323205327850108
11,"cake",1,"Social",12,10,0.871262904215628
11,"cake",2,"Social",22,20,0.754951940651502
11,"cake",3,"Social",40,35,0.169560027691772
11,"cake",4,"Social",55,50,0.0773991384679493
11,"cake",5,"Social",75,70,0.175568326239566
12,"cake",1,"Social",30,10,0.842072741364995
12,"cake",2,"Social",35,20,0.899156243922013
12,"cake",3,"Social",50,35,1.10214017999652
12,"cake",4,"Social",55,50,0.0773991384679493
12,"cake",5,"Social",70,70,0.67434198032924
13,"cake",1,"Social",12,10,0.871262904215628
13,"cake",2,"Social",21,20,0.882191031772541
13,"cake",3,"Social",36,35,0.678240110767089
13,"cake",4,"Social",52,50,0.523932629629193
13,"cake",5,"Social",71,70,0.574587249511305
14,"cake",1,"Social",40,10,1.79392587779867
14,"cake",2,"Social",31,20,0.390199879437855
14,"cake",3,"Social",37,35,0.55107008999826
14,"cake",4,"Social",54,50,0.226243635521697
14,"cake",5,"Social",75,70,0.175568326239566
15,"cake",1,"Social",10,10,1.06163353150236
15,"cake",2,"Social",20,20,1.00943012289358
15,"cake",3,"Social",35,35,0.805410131535918
15,"cake",4,"Social",51,50,0.672777126682941
15,"cake",5,"Social",72,70,0.47483251869337
16,"cake",1,"Social",11,10,0.966448217858996
16,"cake",2,"Social",21,20,0.882191031772541
16,"cake",3,"Social",36,35,0.678240110767089
16,"cake",4,"Social",51,50,0.672777126682941
16,"cake",5,"Social",71,70,0.574587249511305
17,"cake",1,"Social",12,10,0.871262904215628
17,"cake",2,"Social",25,20,0.373234667288383
17,"cake",3,"Social",40,35,0.169560027691772
17,"cake",4,"Social",60,50,0.66682334680079
17,"cake",5,"Social",80,70,0.323205327850108
18,"cake",1,"Social",10,10,1.06163353150236
18,"cake",2,"Social",20,20,1.00943012289358
18,"cake",3,"Social",35,35,0.805410131535918
18,"cake",4,"Social",50,50,0.821621623736688
18,"cake",5,"Social",70,70,0.67434198032924
19,"cake",1,"Social",30,10,0.842072741364995
19,"cake",2,"Social",30,20,0.262960788316815
19,"cake",3,"Social",40,35,0.169560027691772
19,"cake",4,"Social",70,50,2.15526831733827
19,"cake",5,"Social",90,70,1.32075263602946
20,"cake",1,"Social",15,10,0.585706963285524
20,"cake",2,"Social",30,20,0.262960788316815
20,"cake",3,"Social",40,35,0.169560027691772
20,"cake",4,"Social",60,50,0.66682334680079
20,"cake",5,"Social",75,70,0.175568326239566
21,"cake",1,"Social",30,10,0.842072741364995
21,"cake",2,"Social",30,20,0.262960788316815
21,"cake",3,"Social",40,35,0.169560027691772
21,"cake",4,"Social",50,50,0.821621623736688
21,"cake",5,"Social",70,70,0.67434198032924
22,"cake",1,"Social",15,10,0.585706963285524
22,"cake",2,"Social",20,20,1.00943012289358
22,"cake",3,"Social",35,35,0.805410131535918
22,"cake",4,"Social",55,50,0.0773991384679493
22,"cake",5,"Social",80,70,0.323205327850108
23,"cake",1,"Social",20,10,0.109780395068684
23,"cake",2,"Social",30,20,0.262960788316815
23,"cake",3,"Social",45,35,0.466290076152373
23,"cake",4,"Social",60,50,0.66682334680079
23,"cake",5,"Social",80,70,0.323205327850108
24,"cake",1,"Social",15,10,0.585706963285524
24,"cake",2,"Social",21,20,0.882191031772541
24,"cake",3,"Social",35,35,0.805410131535918
24,"cake",4,"Social",50,50,0.821621623736688
24,"cake",5,"Social",70,70,0.67434198032924
25,"cake",1,"Social",30,10,0.842072741364995
25,"cake",2,"Social",30,20,0.262960788316815
25,"cake",3,"Social",60,35,2.37384038768481
25,"cake",4,"Social",60,50,0.66682334680079
25,"cake",5,"Social",80,70,0.323205327850108
26,"cake",1,"Social",10,10,1.06163353150236
26,"cake",2,"Social",20,20,1.00943012289358
26,"cake",3,"Social",40,35,0.169560027691772
26,"cake",4,"Social",50,50,0.821621623736688
26,"cake",5,"Social",70,70,0.67434198032924
27,"cake",1,"Social",30,10,0.842072741364995
27,"cake",2,"Social",30,20,0.262960788316815
27,"cake",5,"Social",90,70,1.32075263602946
28,"cake",1,"Social",10,10,1.06163353150236
28,"cake",2,"Social",20,20,1.00943012289358
28,"cake",3,"Social",35,35,0.805410131535918
28,"cake",4,"Social",50,50,0.821621623736688
28,"cake",5,"Social",70,70,0.67434198032924
29,"cake",1,"Social",25,10,0.366146173148156
29,"cake",2,"Social",25,20,0.373234667288383
29,"cake",3,"Social",35,35,0.805410131535918
29,"cake",4,"Social",50,50,0.821621623736688
29,"cake",5,"Social",70,70,0.67434198032924
30,"cake",1,"Social",25,10,0.366146173148156
30,"cake",2,"Social",25,20,0.373234667288383
30,"cake",3,"Social",35,35,0.805410131535918
30,"cake",4,"Social",50,50,0.821621623736688
30,"cake",5,"Social",70,70,0.67434198032924
31,"cake",1,"Social",10,10,1.06163353150236
31,"cake",2,"Social",20,20,1.00943012289358
31,"cake",3,"Social",35,35,0.805410131535918
31,"cake",4,"Social",50,50,0.821621623736688
31,"cake",5,"Social",70,70,0.67434198032924
32,"cake",1,"Social",25,10,0.366146173148156
32,"cake",2,"Social",30,20,0.262960788316815
32,"cake",3,"Social",40,35,0.169560027691772
32,"cake",4,"Social",60,50,0.66682334680079
32,"cake",5,"Social",75,70,0.175568326239566
33,"cake",1,"Social",22,10,0.0805902322180516
33,"cake",2,"Social",28,20,0.00848260607473595
33,"cake",3,"Social",36,35,0.678240110767089
33,"cake",4,"Social",55,50,0.0773991384679493
33,"cake",5,"Social",71,70,0.574587249511305
34,"cake",1,"Social",30,10,0.842072741364995
34,"cake",2,"Social",30,20,0.262960788316815
34,"cake",3,"Social",45,35,0.466290076152373
34,"cake",4,"Social",60,50,0.66682334680079
34,"cake",5,"Social",75,70,0.175568326239566
35,"cake",1,"Social",15,10,0.585706963285524
35,"cake",2,"Social",25,20,0.373234667288383
35,"cake",3,"Social",40,35,0.169560027691772
35,"cake",4,"Social",55,50,0.0773991384679493
35,"cake",5,"Social",75,70,0.175568326239566
36,"cake",1,"Social",11,10,0.966448217858996
36,"cake",2,"Social",25,20,0.373234667288383
36,"cake",3,"Social",40,35,0.169560027691772
36,"cake",4,"Social",55,50,0.0773991384679493
36,"cake",5,"Social",75,70,0.175568326239566
37,"cake",1,"Social",30,10,0.842072741364995
37,"cake",2,"Social",40,20,1.53535169952721
37,"cake",3,"Social",60,35,2.37384038768481
37,"cake",4,"Social",60,50,0.66682334680079
37,"cake",5,"Social",90,70,1.32075263602946
38,"cake",1,"Social",10,10,1.06163353150236
38,"cake",2,"Social",20,20,1.00943012289358
38,"cake",3,"Social",35,35,0.805410131535918
38,"cake",4,"Social",50,50,0.821621623736688
38,"cake",5,"Social",70,70,0.67434198032924
39,"cake",1,"Social",20,10,0.109780395068684
39,"cake",2,"Social",25,20,0.373234667288383
39,"cake",3,"Social",35,35,0.805410131535918
39,"cake",4,"Social",55,50,0.0773991384679493
39,"cake",5,"Social",70,70,0.67434198032924
40,"cake",1,"Social",15,10,0.585706963285524
40,"cake",2,"Social",20,20,1.00943012289358
40,"cake",3,"Social",40,35,0.169560027691772
40,"cake",4,"Social",50,50,0.821621623736688
40,"cake",5,"Social",75,70,0.175568326239566
41,"cake",1,"Social",10,10,1.06163353150236
41,"cake",2,"Social",20,20,1.00943012289358
41,"cake",3,"Social",50,35,1.10214017999652
41,"cake",4,"Social",65,50,1.41104583206953
41,"cake",5,"Social",100,70,2.31829994420881
42,"cake",1,"Social",30,10,0.842072741364995
42,"cake",2,"Social",30,20,0.262960788316815
42,"cake",3,"Social",55,35,1.73799028384066
42,"cake",4,"Social",55,50,0.0773991384679493
42,"cake",5,"Social",75,70,0.175568326239566
43,"cake",1,"Social",13,10,0.77607759057226
43,"cake",2,"Social",22,20,0.754951940651502
43,"cake",3,"Social",37,35,0.55107008999826
43,"cake",4,"Social",52,50,0.523932629629193
43,"cake",5,"Social",71,70,0.574587249511305
44,"cake",1,"Social",12,10,0.871262904215628
44,"cake",2,"Social",21,20,0.882191031772541
44,"cake",3,"Social",35,35,0.805410131535918
44,"cake",4,"Social",50,50,0.821621623736688
44,"cake",5,"Social",70,70,0.67434198032924
45,"cake",1,"Social",13,10,0.77607759057226
45,"cake",2,"Social",26,20,0.245995576167343
45,"cake",3,"Social",40,35,0.169560027691772
45,"cake",4,"Social",60,50,0.66682334680079
45,"cake",5,"Social",85,70,0.821978981939783
46,"cake",1,"Social",15,10,0.585706963285524
46,"cake",2,"Social",20,20,1.00943012289358
46,"cake",3,"Social",35,35,0.805410131535918
46,"cake",4,"Social",50,50,0.821621623736688
46,"cake",5,"Social",70,70,0.67434198032924
47,"cake",1,"Social",20,10,0.109780395068684
47,"cake",2,"Social",35,20,0.899156243922013
47,"cake",3,"Social",55,35,1.73799028384066
47,"cake",4,"Social",60,50,0.66682334680079
47,"cake",5,"Social",90,70,1.32075263602946
48,"cake",1,"Social",10,10,1.06163353150236
48,"cake",2,"Social",20,20,1.00943012289358
48,"cake",3,"Social",35,35,0.805410131535918
48,"cake",4,"Social",50,50,0.821621623736688
48,"cake",5,"Social",70,70,0.67434198032924
49,"cake",1,"Social",15,10,0.585706963285524
49,"cake",2,"Social",25,20,0.373234667288383
49,"cake",3,"Social",40,35,0.169560027691772
49,"cake",4,"Social",55,50,0.0773991384679493
49,"cake",5,"Social",75,70,0.175568326239566
50,"cake",1,"Social",12,10,0.871262904215628
50,"cake",2,"Social",30,20,0.262960788316815
50,"cake",3,"Social",60,35,2.37384038768481
50,"cake",4,"Social",60,50,0.66682334680079
50,"cake",5,"Social",90,70,1.32075263602946
51,"cake",1,"Social",15,10,0.585706963285524
51,"cake",2,"Social",30,20,0.262960788316815
51,"cake",3,"Social",50,35,1.10214017999652
51,"cake",4,"Social",50,50,0.821621623736688
51,"cake",5,"Social",75,70,0.175568326239566
52,"cake",1,"Social",10,10,1.06163353150236
52,"cake",2,"Social",30,20,0.262960788316815
52,"cake",3,"Social",40,35,0.169560027691772
52,"cake",4,"Social",60,50,0.66682334680079
52,"cake",5,"Social",70,70,0.67434198032924
53,"cake",1,"Social",15,10,0.585706963285524
53,"cake",2,"Social",20,20,1.00943012289358
53,"cake",3,"Social",35,35,0.805410131535918
53,"cake",4,"Social",55,50,0.0773991384679493
53,"cake",5,"Social",75,70,0.175568326239566
54,"cake",1,"Social",15,10,0.585706963285524
54,"cake",2,"Social",25,20,0.373234667288383
54,"cake",3,"Social",40,35,0.169560027691772
54,"cake",4,"Social",55,50,0.0773991384679493
54,"cake",5,"Social",75,70,0.175568326239566
55,"cake",1,"Social",15,10,0.585706963285524
55,"cake",2,"Social",25,20,0.373234667288383
55,"cake",3,"Social",40,35,0.169560027691772
55,"cake",4,"Social",55,50,0.0773991384679493
55,"cake",5,"Social",75,70,0.175568326239566
56,"cake",1,"Social",13,10,0.77607759057226
56,"cake",2,"Social",25,20,0.373234667288383
56,"cake",3,"Social",40,35,0.169560027691772
56,"cake",4,"Social",55,50,0.0773991384679493
56,"cake",5,"Social",90,70,1.32075263602946
57,"cake",1,"Social",15,10,0.585706963285524
57,"cake",2,"Social",30,20,0.262960788316815
57,"cake",3,"Social",35,35,0.805410131535918
57,"cake",4,"Social",50,50,0.821621623736688
57,"cake",5,"Social",70,70,0.67434198032924
58,"cake",1,"Social",30,10,0.842072741364995
58,"cake",2,"Social",40,20,1.53535169952721
58,"cake",3,"Social",45,35,0.466290076152373
58,"cake",4,"Social",60,50,0.66682334680079
58,"cake",5,"Social",100,70,2.31829994420881
59,"cake",1,"Social",25,10,0.366146173148156
59,"cake",2,"Social",25,20,0.373234667288383
59,"cake",3,"Social",38,35,0.423900069229431
59,"cake",4,"Social",55,50,0.0773991384679493
59,"cake",5,"Social",70,70,0.67434198032924
60,"cake",1,"Social",20,10,0.109780395068684
60,"cake",2,"Social",20,20,1.00943012289358
60,"cake",3,"Social",35,35,0.805410131535918
60,"cake",4,"Social",50,50,0.821621623736688
61,"cake",1,"Social",12,10,0.871262904215628
61,"cake",2,"Social",25,20,0.373234667288383
61,"cake",3,"Social",40,35,0.169560027691772
61,"cake",4,"Social",60,50,0.66682334680079
61,"cake",5,"Social",75,70,0.175568326239566
62,"cake",1,"Social",25,10,0.366146173148156
62,"cake",2,"Social",25,20,0.373234667288383
62,"cake",3,"Social",45,35,0.466290076152373
62,"cake",4,"Social",60,50,0.66682334680079
62,"cake",5,"Social",80,70,0.323205327850108
